consulta,categoria
cuanto me toca de aguinaldo este año,aguinaldo
cuando pagan el agui,aguinaldo
como se calcula el aguinaldo si entre en agosto,aguinaldo
me van a pagar aguinaldo completo si tengo 4 meses,aguinaldo
el aguinaldo se rebaja o llega completo,aguinaldo
hasta cuando tienen plazo para darme el aguinaldo,aguinaldo
si me salgo antes de diciembre pierdo el aguinaldo?,aguinaldo
como saco el calculo del aguinaldo,aguinaldo
cuanto es el aguinaldo proporcional,aguinaldo
me pagan aguinaldo aunque sea medio tiempo,aguinaldo
el treceavo mes cuando lo dan,aguinaldo
no me pagaron el aguinaldo el año pasado que hago,aguinaldo
cuantos meses necesito para ganar aguinaldo,aguinaldo
el aguinaldo paga impuesto o rebajo,aguinaldo
cuanto seria mi aguinaldo si gano 400 mil,aguinaldo
me corresponde aguinaldo si entre en setiembre,aguinaldo
dan aguinaldo en trabajos por horas,aguinaldo
el aguinaldo entra antes del 20 de diciembre verdad,aguinaldo
cuanto aguinaldo me corresponde por 6 meses trabajados,aguinaldo
el aguinaldo se paga completo o por dias,aguinaldo
si renuncio en noviembre pierdo el aguinaldo,aguinaldo
cuanto seria el aguinaldo con salario minimo,aguinaldo
el aguinaldo aplica para medio tiempo,aguinaldo
cuando cae el pago del aguinaldo este año,aguinaldo
aguinaldo se paga en efectivo o deposito,aguinaldo
que pasa si el patrono no paga el aguinaldo a tiempo,aguinaldo
el aguinaldo cuenta las horas extra,aguinaldo
cuanto de aguinaldo me toca si gano por comision,aguinaldo
aguinaldo pa cuando cae,aguinaldo
agui cuanto es este año,aguinaldo
cae el aguinaldo antes de navidad,aguinaldo
el aguinaldo se calcula con el salario bruto o neto,aguinaldo
tengo dos trabajos me pagan aguinaldo en ambos,aguinaldo
cuanto aguinaldo me toca si entre en enero,aguinaldo
el aguinaldo prescribe si no lo reclamo,aguinaldo
si estoy incapacitada me pagan aguinaldo,aguinaldo
aguinaldo se paga aunque este a prueba,aguinaldo
cuanto aguinaldo llevo acumulado,aguinaldo
el aguinaldo se paga proporcional a las vacaciones,aguinaldo
porque me pagaron menos aguinaldo este año,aguinaldo
cuantos dias de vacaciones tengo,vacaciones
ya puedo pedir vacaciones,vacaciones
cuanto tiempo debo trabajar para tener vacaciones,vacaciones
me pagan las vacaciones si me voy del trabajo,vacaciones
cuantos dias de vacas me tocan al año,vacaciones
como pido mis vacaciones al patrono,vacaciones
las vacaciones son 15 dias o cuanto,vacaciones
puedo juntar las vacaciones de dos años,vacaciones
me deben vacaciones no disfrutadas,vacaciones
cuantos dias libres me dan por vacaciones,vacaciones
las vacaciones se pagan aparte del salario,vacaciones
cada cuanto tengo derecho a vacaciones,vacaciones
si no tomo vacaciones me las pagan,vacaciones
puedo pedir vacaciones despues de 3 meses,vacaciones
cuantas semanas de vacaciones son por ley,vacaciones
me quede sin disfrutar vacaciones y renuncie,vacaciones
el patrono decide cuando doy vacaciones?,vacaciones
tengo derecho a vacaciones si soy nuevo,vacaciones
cuantos dias de vacaciones tengo despues de dos años,vacaciones
las vacaciones caducan si no las uso,vacaciones
puedo cobrar las vacaciones en vez de tomarlas,vacaciones
cuantos dias de vacaciones me tocan por medio tiempo,vacaciones
el patrono me puede negar las vacaciones,vacaciones
cuanto se acumulan las vacaciones por mes,vacaciones
vacas cuando me tocan,vacaciones
cuantos dias de vacaciones llevo acumulados,vacaciones
puedo dividir mis vacaciones en varias veces,vacaciones
las vacaciones incluyen fines de semana,vacaciones
si trabajo medio tiempo tengo vacaciones proporcionales,vacaciones
cuanto me pagan si no disfrute las vacaciones,vacaciones
las vacaciones se pierden si no las pido,vacaciones
puedo salir de vacaciones antes del año,vacaciones
cuantos dias siguen siendo vacaciones si caen en feriado,vacaciones
vacaciones acumuladas de cuantos años puedo pedir,vacaciones
tengo que avisar con cuanto tiempo para las vacaciones,vacaciones
las vacaciones se pagan con aguinaldo incluido,vacaciones
puedo trabajar durante mis vacaciones,vacaciones
cuanto tiempo tiene el patrono para darme vacaciones,vacaciones
que es el periodo de prueba,periodo_prueba
me pueden botar en el periodo de prueba,periodo_prueba
cuanto dura el periodo de prueba,periodo_prueba
en la prueba me pagan igual,periodo_prueba
si me despiden en prueba me dan liquidacion,periodo_prueba
cuantos meses es el periodo de prueba en cr,periodo_prueba
durante la prueba tengo los mismos derechos,periodo_prueba
me pueden echar sin preaviso en la prueba,periodo_prueba
el periodo de prueba son 3 meses?,periodo_prueba
estoy en prueba y me sacaron es legal,periodo_prueba
en periodo de prueba cotizo a la caja,periodo_prueba
que pasa cuando termina el periodo de prueba,periodo_prueba
me pueden renovar el periodo de prueba,periodo_prueba
en prueba tengo derecho a aguinaldo,periodo_prueba
cuanto tiempo dura la prueba en un trabajo nuevo,periodo_prueba
estoy a prueba me pueden bajar el sueldo,periodo_prueba
la prueba cuenta para la antiguedad,periodo_prueba
si paso la prueba quedo fijo,periodo_prueba
el periodo de prueba aplica en todos los trabajos,periodo_prueba
puedo renunciar durante el periodo de prueba sin problema,periodo_prueba
el periodo de prueba se puede alargar mas de 3 meses,periodo_prueba
en prueba me pueden bajar el salario pactado,periodo_prueba
el periodo de prueba aplica en contratos por tiempo definido,periodo_prueba
